,nameOfIssuer,titleOfClass,cusip,holding_duration,holding_proportion,portfolio_duration,Profit,yield_from_last_report,yield_from_1_year,yield_from_3_year,yield_from_continuous_profit,bought_times
0,FIAT CHRYSLER AUTOMOBILES N V,SHS,N31738102,6.125,0.0002604166666666666,0.0014583333333333334,24.51395833333334,-0.001458333333333334,0.0,0.0,0.0,31.0
1,COGNIZANT TECHNOLOGY SOLUTIONS,CL A,192446102,4.625,0.00011944444444444443,0.0002777777777777778,28.556666666666672,0.02083333333333333,0.0,0.0,0.0,19.0
2,HEWLETT PACKARD ENTERPRISE CO,COM,42824C109,3.125,6.250000000000001e-05,0.0,-12.514583333333334,0.21958333333333332,0.0,0.0,0.0,17.0
3,CDN IMPERIAL BK COMM TORONTO O,COM,136069101,3.5,1.4814814814814815e-05,0.0,-3.1000000000000005,-0.03518518518518519,0.0,0.0,0.0,16.0
4,DEUTSCHE BANK AG,NAMEN AKT,D18190898,9.041666666666666,0.0002465997770345597,0.0018636194723151247,-1004.5265737643998,-4.671196581196581,0.0,0.0,0.0,15.666666666666666
5,GOLDCORP INC NEW,COM,380956409,5.416666666666667,9.666666666666668e-05,0.0,167.87106666666668,2.6229777777777774,0.0,0.0,0.0,15.666666666666666
6,LYONDELLBASELL INDUSTRIES N V,SHS - A -,N53745100,3.75,7.241379310344828e-05,0.0,0.7313793103448273,-0.09758620689655172,0.0,0.0,0.0,15.0
7,NEW ORIENTAL ED & TECH GRP INC,SPON ADR,647581107,3.125,4.1666666666666665e-05,0.0,-2.0899999999999985,0.0033333333333333327,0.0,0.0,0.0,15.0
8,FIRST REP BK SAN FRANCISCO CAL,COM,33616C100,2.875,4.0909090909090915e-05,0.0,19.029545454545456,0.04818181818181819,0.0,0.0,0.0,15.0
9,INTERNATIONAL FLAVORS&FRAGRANC,COM,459506101,2.75,2.8571428571428574e-05,0.0,-22.826190476190476,-0.041428571428571426,0.0,0.0,0.0,15.0
10,COCA COLA EUROPEAN PARTNERS P,SHS,G25839104,2.625,0.00015000000000000001,0.0,-11.601999999999999,-0.2885,0.0,0.0,0.0,13.0
11,CHARTER COMMUNICATIONS INC NEW,CL A,16119P108,2.75,4.761904761904762e-05,0.0,-8.18142857142857,-0.5190476190476191,0.0,0.0,0.0,13.0
12,FORTUNE BRANDS HOME & SEC INC,COM,34964C106,2.75,4.761904761904763e-05,0.0,-29.240476190476187,-0.035238095238095235,0.0,0.0,0.0,12.0
13,TAKE-TWO INTERACTIVE SOFTWARE,COM,874054109,2.375,2.2222222222222223e-05,0.0,46.571666666666665,-0.04611111111111111,0.0,0.0,0.0,12.0
14,INTERCONTINENTAL EXCHANGE INC,COM,45866F104,2.25,0.00012941176470588237,0.0,16.98529411764706,0.028235294117647056,0.0,0.0,0.0,12.0
