,CIK,AUM,positionsNumber,portfolio_turnover,portfolio_duration,top_10_holdings,yield_from_last_report,yield_from_1_year,yield_from_3_year
0,1592643,15199.31,106.45,0.15,0.03,0.37,0.04,0.12,0.15
1,1132716,2387.46,262.25,0.36,0.04,0.68,-0.04,1.06,0.0
2,1323645,1803.55,1637.95,0.37,0.01,0.09,26.52,171.93,101.11
3,1102598,509.08,10529.44,0.8,0.02,0.13,1.92,6.0,0.36
4,1214717,455.28,5886.35,0.37,0.02,0.18,0.1,0.18,0.21
5,1697233,372.49,58.33,0.16,0.04,0.55,35.41,122.95,4.33
6,1423053,258.33,11820.25,0.61,0.05,0.38,142.13,204.8,0.0
7,1521019,161.64,4849.06,0.33,0.02,0.19,1.08,3.05,5.81
8,1109448,151.96,3120.25,0.22,0.02,0.18,0.04,0.11,0.14
9,824468,129.45,17680.58,0.68,0.02,0.14,0.07,0.17,0.11
10,1348883,124.22,1187.06,0.1,0.01,0.21,0.07,0.09,0.04
11,932859,123.19,4355.0,0.17,0.01,0.16,0.04,0.07,0.08
12,850529,113.74,1140.75,0.05,0.02,0.25,0.18,0.14,0.14
13,53417,104.53,872.76,0.78,0.04,0.32,0.05,0.09,0.08
14,1386060,101.16,1983.07,0.58,0.02,0.1,0.09,0.17,-0.01
15,1521001,89.45,42724.47,0.16,0.07,0.13,0.03,0.12,0.09
16,1167557,84.44,2867.74,0.57,0.02,0.13,0.05,0.02,-0.06
17,1009207,75.91,4796.0,0.51,0.02,0.08,0.04,0.12,0.15
18,1076598,63.36,1775.93,3.05,0.01,0.2,0.09,0.77,0.19
19,1050470,60.73,1023.05,0.1,0.01,0.16,0.05,0.04,-0.03
20,1207017,60.22,1741.4,0.78,0.04,0.22,0.04,0.09,0.1
21,1466153,55.45,283.5,0.11,0.02,0.23,0.04,0.1,0.09
22,1164508,43.33,1526.75,0.33,0.02,0.19,0.03,0.18,0.18
23,919859,43.32,1111.94,0.1,0.02,0.21,0.07,0.11,0.05
24,1325447,39.59,208.58,0.15,0.03,0.31,0.05,-0.01,-0.06
25,898419,35.5,1324.27,0.52,0.02,0.17,0.06,0.01,-0.01
26,1536105,32.46,85.26,0.11,0.08,0.65,0.05,0.14,0.15
27,1230239,31.41,248.65,0.4,0.03,0.47,0.13,0.54,0.77
28,860644,31.1,231.53,0.06,0.03,0.28,0.2,0.32,0.4
